retailer,name,brand,package_size,instore_price,instore_was_price,online_price,online_was_price,save_percent,category_original,category_std
Woolworth,The Ginger People Organic Ginger Juice 147ml,The Ginger People,147ML,9.45,9.95,9.45,9.95,0.050251256281407,"[""Cordials, Juices & Iced Teas"",""Pantry""]",Juice
Woolworth,Nature's Cuppa Organic Ceylon Premium Tea Bags 120 pack,Nature's Cuppa,120 pack,9.4,13.5,9.4,13.5,0.3037037037037037,"[""Tea & Coffee"",""Tea""]",Tea
Woolworth,Pureau Ultra Pure Water 600mL x 12 pack,Pureau,600mL x 12 pack,9.3,9.3,9.3,9.3,0.0,"[""Water"",""Drinks""]",Water
Woolworth,Caffe Aurora Freeze Dried Coffee Italian Style 100g,Caffe Aurora,100g,9.2,9.2,9.2,9.2,0.0,"[""Tea & Coffee"",""Coffee""]",Coffee
Woolworth,Lipton Green Tea Bags 100 pack,Lipton,100 pack,9.2,9.2,9.2,9.2,0.0,"[""Tea"",""Tea & Coffee""]",Tea
Woolworth,Fever-Tree Premium Dry Ginger Ale Bottles 200mL x 4 pack,Fever-Tree,200mL x 4 pack,9.0,9.0,9.0,9.0,0.0,"[""Soft Drinks""]",Soft Drink
Woolworth,Fever-Tree Elderflower Tonic Water Bottles 200mL x 4 pack,Fever-Tree,200mL x 4 pack,9.0,9.0,9.0,9.0,0.0,"[""Soft Drinks""]",Soft Drink
Woolworth,Robert Timms Coffee Bags Italian Espresso 24 pack,Robert Timms,24 pack,9.0,13.0,9.0,13.0,0.3076923076923077,"[""Coffee"",""Tea & Coffee""]",Coffee
Woolworth,Robert Timms Coffee Bags Gold Colombia Style 24 pack,Robert Timms,24 pack,9.0,13.0,9.0,13.0,0.3076923076923077,"[""Coffee"",""Tea & Coffee""]",Coffee
Woolworth,Staminade Lemon & Lime Powder 585g,Staminade,585g,9.0,11.5,9.0,11.5,0.217391304347826,"[""Sports & Energy Drinks""]",Juice
Woolworth,T2 Tea Iced Tea Peach Amore Raspberry Low Sugar Ice Tea Cans 240mL x 4 pack,T2 Tea,240mL x 4 pack,9.0,9.0,9.0,9.0,0.0,"[""Cordials, Juices & Iced Teas""]",Tea
Woolworth,Robert Timms Coffee Bags Mocha Kenya Style 24 pack,Robert Timms,24 pack,9.0,13.0,9.0,13.0,0.3076923076923077,"[""Coffee"",""Tea & Coffee""]",Coffee
Woolworth,Staminade Hydrate Electrolyte Powder Orange 585g,Staminade,585g,9.0,11.5,9.0,11.5,0.217391304347826,"[""Sports & Energy Drinks""]",Sport & Energy
Woolworth,Bonvit Roasted Dandelion Tea Bags 32 pack,Bonvit,32 pack,9.0,9.0,9.0,9.0,0.0,"[""Tea"",""Tea & Coffee""]",Tea
Woolworth,Coopers Ultra Light 375mL x 6 pack,Coopers,375mL x 6 pack,9.0,9.0,9.0,9.0,0.0,"[""Beer"",""Low & Non Alcoholic Drinks""]",Non/Low Alcoholic
Woolworth,Pukka Peppermint & Licorice Organic Herbal Tea Sachets 20 pack,Pukka,20 pack,9.0,9.0,9.0,9.0,0.0,"[""Tea & Coffee"",""Tea""]",Tea
Woolworth,Pukka Lemon Ginger & Manuka Honey Tea Bags 20 pack,Pukka,20 pack,9.0,9.0,9.0,9.0,0.0,"[""Tea & Coffee"",""Tea""]",Tea
Woolworth,Fever-Tree Mediterranean Tonic Water Bottles 200mL x 4 pack,Fever-Tree,200mL x 4 pack,9.0,9.0,9.0,9.0,0.0,"[""Soft Drinks""]",Soft Drink
Woolworth,Pukka Tea Bags Three Ginger 20 pack,Pukka,20 pack,9.0,9.0,9.0,9.0,0.0,"[""Tea"",""Tea & Coffee""]",Tea
Woolworth,Fever-Tree Premium Indian Tonic Water Bottles 200mL x 4 pack,Fever-Tree,200mL x 4 pack,9.0,9.0,9.0,9.0,0.0,"[""Soft Drinks""]",Soft Drink
Woolworth,Pukka Night Time Tea Bags 20 pack,Pukka,20 pack,9.0,9.0,9.0,9.0,0.0,"[""Tea & Coffee"",""Tea""]",Tea
